suite,network,chosen_depth,raw_mse_ratio,ideal_cost_ratio,ideal_score_ratio,calibrated_score_ratio,base_mse_obs,method_mse_obs,reference_noise
holdout_B_rare1,13,4,1.0080230836255333,0.960050106048584,0.9677526683341139,0.9880799010999163,2.0828898795409616e-07,2.0996010792272958e-07,1.3432551528660985e-07
holdout_B_rare1,14,3,1.0050327732902076,0.9551734924316406,0.9599806640718649,0.9827215447914818,4.03591590187055e-07,4.0562277516230084e-07,2.578170326281778e-07
holdout_B_rare1,15,2,1.0000317668544034,0.9790630340576172,0.9790941358104719,0.9896627901616768,3.8778991309526914e-07,3.878022319609776e-07,1.1255016497057328e-07
holdout_B_rare1,16,5,1.0007675750743392,0.9243650436401367,0.9250745632072254,0.963282003081711,7.886529690392419e-07,7.8925831940058e-07,4.982975094672551e-07
holdout_B_rare1,17,6,0.9991422378881399,0.9254989624023438,0.9247051044578293,0.96227861659341,3.5417366812884495e-07,3.538698713753055e-07,6.008590245810659e-08
holdout_B_rare1,18,6,1.0265429824109542,0.9128894805908203,0.9371202900172876,0.9822580386517827,3.172280938319259e-07,3.256482735467673e-07,2.2050102709224556e-07
holdout_B_rare1,19,6,1.0028428610766826,0.9156060218811035,0.9182089626022856,0.9609294794312474,6.175041189336075e-07,6.19259597358015e-07,5.286624042284877e-07
holdout_C_max6,0,5,0.9986998964332833,0.929959774017334,0.9287507299982309,0.964058858250937,6.713706749742314e-06,6.704978235651084e-06,1.5285090717194907e-07
holdout_C_max6,1,3,1.0043375965536705,0.9642610549926758,0.9684436304216507,0.9865617699832475,2.502147698086641e-07,2.513001005318636e-07,1.101915341894036e-07
holdout_C_max6,2,2,1.0007193208641838,0.9844851493835449,0.9851933100919756,0.9930303495813171,1.595983355601164e-07,1.5971313797277379e-07,5.229095487864071e-08
holdout_C_max6,3,4,0.998493792559515,0.9492688179016113,0.9478390221450675,0.9734079491467257,2.0488466322359856e-07,2.045760644194099e-07,5.126093292814627e-08
holdout_C_max6,4,4,1.0033780498324738,0.9619603157043457,0.9652098655876572,0.9844759585687678,3.44815369133341e-07,3.4598017263327626e-07,1.066508543518144e-07
holdout_C_max6,5,5,0.9855713544150974,0.9412345886230469,0.9276538483315533,0.9568887747373367,4.945968426423125e-07,4.874604800924147e-07,1.0955478595213586e-07
holdout_C_max6,6,4,1.007145137440099,0.9523773193359375,0.9591821861774259,0.9833923679546904,7.614147027373535e-07,7.668551154373241e-07,8.210735705305413e-07
holdout_C_max6,7,4,1.0032158509838678,0.955263614654541,0.958335600089581,0.980989732159338,3.459518594782781e-07,3.4706438910595225e-07,1.20833150180779e-07
holdout_C_max6,8,3,0.9887225100875904,0.9660482406616211,0.9551536413726586,0.972098145250136,2.2136490685811423e-07,2.1886846635406035e-07,9.442707144850998e-08
holdout_C_max6,9,6,1.0064346063217153,0.9345288276672363,0.9405421527695691,0.9738025805841712,4.7435193826687763e-07,4.774042062475676e-07,2.8616851457554357e-07
holdout_C_max6,10,2,1.0038274212625542,0.9967689514160156,1.000584006094519,1.0022211795529918,8.19124972386091e-08,8.222601087220908e-08,3.980230464312209e-08
holdout_C_max6,11,4,1.0045173106026362,0.9575223922729492,0.9618478183278254,0.98338602932446,2.812451637482896e-07,2.825156355084299e-07,2.888269739607017e-07
holdout_C_max6,12,5,1.0092199285457546,0.9412040710449219,0.9498819053269294,0.9798338638826848,2.506024403511807e-07,2.529129769446103e-07,9.668906162007252e-08
holdout_C_max6,13,3,1.0006377736637653,0.9652237892150879,0.965839383527489,0.9834045109555644,6.822164740346196e-07,6.826515737347456e-07,6.531764238896357e-08
holdout_C_max6,14,3,1.0024541721773854,0.968595027923584,0.9709721268922679,0.986863268263002,1.812632538298749e-07,1.8170810506420654e-07,1.620983354116131e-07
holdout_C_max6,15,6,0.9997227471071812,0.8922262191772461,0.8919788468769304,0.9463645621278574,4.538167639072403e-07,4.536909418966374e-07,8.688426322661567e-08
holdout_C_max6,16,3,1.0086521424008532,0.9676742553710938,0.9760467108262041,0.992504902087732,1.2188148324133568e-07,1.2293601919036692e-07,9.149747981773091e-08
holdout_C_max6,17,2,0.9937987644666335,0.9784984588623047,0.9724305594498635,0.9832165539329107,3.0137377360342715e-07,2.9950488384973284e-07,9.991534789526423e-08
holdout_C_max6,18,3,1.0000982017576454,0.9669599533081055,0.9670549104750931,0.9837341194772353,4.526741550318447e-07,4.5271860842950947e-07,8.520278234408877e-08
holdout_C_max6,19,4,0.9826034019451123,0.955202579498291,0.9385853041617673,0.9608042485921855,2.0848572490317216e-07,2.048587825468498e-07,1.432125148289007e-07
