design,arm,alpha,group,n,pooled_raw_ratio,mean_raw_ratio,wins,p90,worst,pooled_cross_ratio,mean_downstream_anchor_error_ratio,mean_unweighted_anchor_error_ratio,mean_cosine
full129,analytic_total,1.4897344349828177,calib_dev,8,1.058113044877704,1.0686827170466806,3,1.3365035609020643,1.3604354567088672,1.0638999301935148,1.035703260969219,1.012669036344914,-0.029618172397668383
full129,analytic_total,1.4897344349828177,validation,8,0.851351328344685,0.8908859484832711,7,1.029128312451771,1.110720358216354,0.8414012017697556,0.9099461702069955,0.9628183458305535,0.342673791564195
full129,analytic_total,1.4897344349828177,expansion,8,0.8594731138789218,0.8983690066797663,4,1.075611641066863,1.1147202623789043,0.8510990161040601,0.9135880235792179,0.9639127510584335,0.2718872677828868
full129,analytic_total,1.4897344349828177,rotation,4,1.088982531974301,1.1338594332758398,0,1.2011281886530447,1.2082548530320434,1.0932310316907785,1.090952183523779,1.0174100031461575,-0.21419210110858702
full129,analytic_total,1.4897344349828177,rotation_expansion,8,1.1232920757839728,1.1048386228687508,3,1.378780791601051,1.5767489608004317,1.1308755804158523,1.062538295953427,1.0068560853676771,-0.11705573445670489
full129,companion_16,0.1359566704587838,train_dev,16,0.8075691088068727,0.8426970571761248,15,0.9682008696357709,1.376970343133201,0.7855739575875348,8.529804048235668,4.302522979974647,0.4321767197651432
full129,companion_16,0.1359566704587838,calib_dev,8,0.927265571249056,0.9378661457245996,4,1.176775562160266,1.3195577151225961,0.9200226914691635,6.754914924201823,4.914923914871977,0.2618576648416716
full129,companion_16,0.1359566704587838,validation,8,1.0886810181883895,1.0194677212899166,3,1.3562316545616706,1.4648489208424318,1.0946170776630018,9.000622477533883,4.25340279068741,0.2024697361617309
full129,companion_16,0.1359566704587838,expansion,8,0.7307176763989673,0.7901992174326393,7,0.9971022436627525,1.0937466506828601,0.7146709499032692,8.997580132149107,4.565356819534713,0.46314346711361815
full129,companion_16,0.1359566704587838,rotation,4,1.0163572997901442,0.9414608190821532,3,1.0632464775705266,1.1276743100112911,1.017138284349461,5.868582990138362,3.757631573416267,0.22048975697546686
full129,companion_16,0.1359566704587838,rotation_expansion,8,0.7845391854863143,0.8958812175193431,5,1.1287629742042855,1.2536347910953594,0.7712865244822441,10.0837202382431,4.656911973555374,0.3498791445557846
full129,companion_16_mean_only,0.13727432070132226,train_dev,16,0.8075730535884398,0.8427174989186574,15,0.9691749379273733,1.3785586094316171,0.7855783532637923,8.41854265800225,4.264738604101435,0.43213346691759125
full129,companion_16_mean_only,0.13727432070132226,calib_dev,8,0.9289776778746679,0.9396230486670529,4,1.1835040635845941,1.3278958558727623,0.9219052893280555,6.7767931626285876,4.927842894209257,0.2615891335887979
