config,mode,unshrunk_gain,unshrunk_wins,unshrunk_worst,global_alpha,global_shrink_gain,global_shrink_ci,global_shrink_wins,global_shrink_worst,lono_alpha_mean,lono_shrink_gain,lono_shrink_ci,lono_shrink_wins,lono_shrink_worst
harm_k8_d6_8|ridge=10|rank=8,full,1.007815604920232,6,1.7654092016865415,2.0,1.0155880935659496,"[0.9075822806696663, 1.1104354338630158]",6,2.5167957500977063,2.0,1.0155880935659496,"[0.9167396836551387, 1.1140626917597813]",6,2.5167957500977063
sigtanh_k8_hp|ridge=10|rank=8,full,1.007632130899137,5,1.1976038059853356,2.0,1.0152406281332194,"[0.9029898432473858, 1.1297151521137863]",5,1.3804706643283424,2.0,1.0152406281332194,"[0.9074747608215776, 1.129452284097815]",5,1.3804706643283424
harm_k8_d6_8|ridge=10|rank=4,full,1.0075708493107487,6,1.7854711523614537,2.0,1.015097607421635,"[0.9051796431902476, 1.1089992533011643]",6,2.5575253063102483,2.0,1.015097607421635,"[0.9009792803501572, 1.12651703271446]",6,2.5575253063102483
harm_k4_d6_8_10|ridge=1|rank=8,cf4,1.009521238374039,5,3.583058495555054,2.0,1.0171689374751915,"[0.5742337309259248, 1.3968341855722892]",5,6.058200177999699,1.9611576874824317,1.0149157388317263,"[0.6337494496283095, 1.3650661347791089]",5,5.300635180046205
sigtanh_k4_hp|ridge=10|rank=16,full,1.007252302726743,5,1.0530345634268106,2.0,1.0145096115659709,"[0.8959681367683059, 1.1426784379912867]",5,1.1029426763023498,2.0,1.0145096115659709,"[0.8907164503403193, 1.1398349191761172]",5,1.1029426763023498
sigtanh_k4_hp|ridge=10|rank=full,full,1.007252267386428,5,1.053030752356379,2.0,1.0145095398631212,"[0.8941627255978328, 1.1344078091084846]",5,1.1029350541604455,2.0,1.0145095398631212,"[0.8941627255978335, 1.1320723107115482]",5,1.1029350541604455
sigtanh_k4_hp|ridge=10|rank=8,full,1.007223745020696,5,1.054014056533523,2.0,1.014451847265376,"[0.8918069293593994, 1.1314342890274718]",5,1.104917455646825,2.0,1.014451847265376,"[0.8986158563325399, 1.1400381525524053]",5,1.104917455646825
sigtanh_k8_hp|ridge=10|rank=4,full,1.0071848792152343,6,1.1160738075002725,2.0,1.014351815374562,"[0.9034239979984343, 1.1475281834408666]",6,1.2184589088615931,2.0,1.014351815374562,"[0.8949790102398187, 1.1475281834408664]",6,1.2184589088615931
harm_k4_d6_8|ridge=1|rank=2,cf4,1.0074697221230986,6,2.5116010543802023,2.0,1.013928472603417,"[0.6639082253549328, 1.3005767008908224]",6,3.9826975263397495,2.0,1.013928472603417,"[0.695435057788019, 1.3175462548004562]",6,3.9826975263397495
harm_k8_d6_8|ridge=10|rank=2,full,1.0069257597598928,5,1.783263506348329,2.0,1.0137936049957375,"[0.9231238903231888, 1.098364611131672]",5,2.553186176390998,2.0,1.0137936049957375,"[0.9369433579431967, 1.1120794720566938]",5,2.553186176390998
tanh_k2_hp|ridge=0.1|rank=full,full,1.006909596303726,4,1.8360959485445683,2.0,1.0134438647514368,"[0.8684259212287382, 1.1435254528098349]",4,2.6602881737709385,2.0,1.0134438647514368,"[0.8790913088893221, 1.1443265826220865]",4,2.6602881737709385
sigtanh_k8_hp|ridge=10|rank=2,full,1.0067119029683873,6,1.3415033160360759,2.0,1.0134047156947128,"[0.8906793164455387, 1.1354684589950637]",6,1.670661104476134,2.0,1.0134047156947128,"[0.8731001288146429, 1.130990272701868]",6,1.670661104476134
