config,mode,gain,wins,worst,alpha,shrink_gain,shrink_wins,shrink_worst,ci
tanh_k16|ridge=1e-08,full,1.0037947660413022,7,1.0258699229993777,2.0,1.0072079534337846,7,1.0523563060231547,"[0.9858455610830339, 1.0222870007506086]"
tanh_k16|ridge=0.0001,full,1.0037810748330855,7,1.025852411390629,2.0,1.007181639065196,7,1.0523196220472573,"[0.9859906588486591, 1.0222237345007381]"
harm6810_k4|ridge=0.0001,full,1.0052080271711548,5,1.0395064175000628,2.0,1.0067813487198713,5,1.0926295336135756,"[0.964280235375082, 1.0437870336172081]"
harm6810_k4|ridge=1e-08,full,1.0052023246605273,5,1.0395460120120126,2.0,1.006764673506698,5,1.092731054090505,"[0.9636191915675241, 1.0437282709260212]"
sigtanh_k16|ridge=0.0001,full,1.0035731194344821,7,1.034582075224384,2.0,1.006701890467141,7,1.0700914265142392,"[0.9810093955689585, 1.0225719863820106]"
sigmoid_k8|ridge=1e-08,full,1.0033650264268625,7,1.025718788962063,2.0,1.0063977642392776,7,1.052052908706272,"[0.9854643267285392, 1.022046924393467]"
harm68_k16|ridge=1,full,1.0032802255420368,6,1.0057443718231447,2.0,1.0063811007985592,6,1.0120251312186785,"[0.997171716034757, 1.0160445940619278]"
sigtanh_k16|ridge=0.01,full,1.0033504508242215,7,1.0255272398903257,2.0,1.0063437391093255,7,1.051645370952696,"[0.985644277799237, 1.0208775986994434]"
sigmoid_k8|ridge=0.0001,full,1.0033124204510047,7,1.025715769498317,2.0,1.0062945541270656,7,1.052044325545818,"[0.9854233741258344, 1.022002225452429]"
harm68_k8|ridge=1,full,1.0032153535322623,6,1.0056228853995384,2.0,1.0062589912671314,6,1.0117738586654352,"[0.9971595386689083, 1.0158138336826206]"
harm6810_k16|ridge=1,cf4,1.003393182533523,4,1.0143059664367027,2.0,1.0060967386640518,4,1.0292119176657788,"[0.9927161092124699, 1.0247375179916118]"
tanh_k8|ridge=1e-08,full,1.0031934490517092,7,1.0260176805032528,2.0,1.006056398553062,7,1.0526204904850136,"[0.985289350203441, 1.0214348897765613]"
tanh_k8|ridge=0.0001,full,1.003181670125048,7,1.0259988468103436,2.0,1.0060337616301778,7,1.0525812791770153,"[0.984783765659583, 1.0214736655958443]"
harm6810_k4|ridge=1,cf4,1.0033218761038976,4,1.0145827941833616,2.0,1.0059683542238527,4,1.0297000369670193,"[0.9916113781977985, 1.025640125819511]"
harm68_k4|ridge=1,full,1.0029436304211967,6,1.0057859567147462,2.0,1.005722953492418,6,1.0120921229253201,"[0.9969408860180862, 1.0149324944030624]"
harm6810_k8|ridge=1,cf4,1.003175702195242,4,1.0142737288272543,2.0,1.00567855736021,4,1.0291290904396315,"[0.9923876817371632, 1.0240988354758158]"
sigtanh_k8|ridge=0.0001,full,1.0029587914118325,7,1.0344516409041324,2.0,1.0055355429886597,7,1.0698016088014999,"[0.9801139673179426, 1.0215568207236678]"
sigmoid_k4|ridge=1e-08,full,1.0028969283872695,7,1.0264528298978308,2.0,1.0054960221141558,7,1.0535109954399202,"[0.9841451293298388, 1.0207531070010487]"
sigmoid_k4|ridge=0.0001,full,1.0028471792263243,7,1.0264456280411363,2.0,1.005398224366513,7,1.0534941471791928,"[0.9843694326038285, 1.0206095005796763]"
harm68_k2|ridge=1,full,1.0027267760929763,7,1.0070586699838862,2.0,1.0052966272735597,7,1.0146327745264425,"[0.9953322485319979, 1.015224368925046]"
sigtanh_k8|ridge=0.01,full,1.0027882644049742,6,1.0256552448126655,2.0,1.0052682149474144,6,1.051871507386933,"[0.9848129059562323, 1.0200217752880723]"
harm6810_k2|ridge=1,cf4,1.0029021538789502,3,1.0125730200395557,2.0,1.005136393472673,3,1.0256792640966956,"[0.9905729710093042, 1.024886305648187]"
tanh_k4|ridge=1e-08,full,1.0026847783977637,6,1.026791342557171,2.0,1.00507043854259,6,1.0541587190485215,"[0.9840190255495883, 1.0200440096153218]"
sigmoid_k2|ridge=1e-08,full,1.0026472106647606,5,1.0216847988963964,2.0,1.0050512142641717,5,1.0437235825958981,"[0.9865728394289384, 1.0195355370054169]"
tanh_k4|ridge=0.0001,full,1.0026733887264094,6,1.026772200304622,2.0,1.0050485131131233,6,1.0541189071130728,"[0.983707996696376, 1.0202077444431372]"
tanh_k16|ridge=0.01,full,1.0026339501331532,7,1.024482998995911,2.0,1.0049655947215879,7,1.049466414048146,"[0.985992379959431, 1.0182028128659553]"
sigmoid_k2|ridge=0.0001,full,1.0025981232394303,5,1.021706967951768,2.0,1.0049542185571978,5,1.0437684228317305,"[0.9865817981984079, 1.0193348036629568]"
sigtanh_k2|ridge=0.0001,full,1.002490492613769,6,1.028899245380671,2.0,1.0047007654204727,6,1.0583876538991202,"[0.982753549667498, 1.0209909606353422]"
tanh_k2|ridge=1e-08,full,1.0024701455213327,5,1.0222822396930016,2.0,1.0046886600204263,5,1.0449350305312377,"[0.9857420773559675, 1.019160255309431]"
tanh_k2|ridge=0.0001,full,1.0024581817389897,5,1.0222767806407458,2.0,1.004665385268434,5,1.044923840666319,"[0.9857014060060649, 1.0191725308914918]"
harm6810_k16|ridge=10,cf4,1.0024981369322874,4,1.0110595075008328,2.0,1.0044021063941597,4,1.0223229884448817,"[0.9885714160921045, 1.0246204608462943]"
sigtanh_k4|ridge=0.01,full,1.0023067376655799,6,1.026398977441988,2.0,1.0043346715091999,6,1.0533506729899396,"[0.9840719554157089, 1.0186829539766464]"
harm6810_k8|ridge=10,cf4,1.002449261858108,4,1.01112216504916,2.0,1.0043049034619334,4,1.0224529482838123,"[0.9885583158941784, 1.024519220571721]"
sigtanh_k4|ridge=0.0001,full,1.00232347596682,7,1.0350537578405397,2.0,1.0043031912951375,7,1.0710020709553143,"[0.9782086403802687, 1.0206708991898459]"
harm6810_k4|ridge=10,cf4,1.0024353511233397,4,1.011366651992555,2.0,1.0042707573572107,4,1.0229551599128262,"[0.9882041074065616, 1.0247265322985817]"
tanh_k8|ridge=0.01,full,1.0021852496382344,6,1.0245250861348623,2.0,1.0041086069348335,6,1.0495276197011834,"[0.9853924924298573, 1.0175193277563952]"
harm6810_k2|ridge=10,cf4,1.0023147453683734,3,1.0113021782590446,2.0,1.0040293779221963,3,1.0228259969564497,"[0.9880725576934487, 1.0245557793327407]"
sigtanh_k2|ridge=0.01,full,1.0020874143549074,5,1.0221188977707032,2.0,1.003940475623171,5,1.0446015031611413,"[0.985579670341776, 1.0178464619734136]"
tanh_k4|ridge=0.01,full,1.001711692598557,6,1.02527118638286,2.0,1.00318775214521,6,1.0510121083022421,"[0.9842021045546553, 1.0162569125232241]"
harm6810_k16|ridge=10,full,1.001580771988698,6,1.0006447552030204,2.0,1.0031550116835637,6,1.0013051970626277,"[1.0003246306458766, 1.0061464745517719]"
harm6810_k16|ridge=100,cf4,1.0018706575643053,4,1.0135489698220006,2.0,1.0031402194089072,4,1.027345464827103,"[0.9860628576858781, 1.024079422172335]"
harm6810_k8|ridge=100,cf4,1.0018650055187623,4,1.013556180321937,2.0,1.0031289089670647,4,1.0273605511141886,"[0.9860518868266108, 1.0241617582985787]"
harm6810_k4|ridge=100,cf4,1.0018629475263143,4,1.013584815078578,2.0,1.0031239360460849,4,1.0274195187240678,"[0.9861145231882582, 1.0241653951610348]"
harm6810_k2|ridge=100,cf4,1.0018484805879047,4,1.0135771668675744,2.0,1.0030949637980306,3,1.0274042253241766,"[0.9861696279716203, 1.024105372797065]"
harm6810_k8|ridge=10,full,1.0015456922865116,6,1.0006529398357698,2.0,1.003085204398047,6,1.0013208942271317,"[1.0002866039714133, 1.0060907420665166]"
harm68_k16|ridge=100,cf4,1.0017623292481976,4,1.013818779106653,2.0,1.0029231156592613,4,1.0278889826164426,"[0.985710390755467, 1.0238610897663356]"
harm68_k4|ridge=100,cf4,1.0017613151940392,4,1.0138459663198682,2.0,1.0029202800288655,4,1.027945214347366,"[0.985774387080628, 1.0240052544416447]"
harm68_k8|ridge=100,cf4,1.001760486506908,4,1.0138265449427153,2.0,1.0029193517069066,4,1.027905100830469,"[0.9858013446185457, 1.023999184641077]"
harm6810_k4|ridge=10,full,1.0014552932833003,6,1.0007909472970575,2.0,1.0029045098903242,6,1.0015958854950837,"[1.000092397446328, 1.0058506934987572]"
harm6810_k2|ridge=10,full,1.0014516124039292,6,1.0010925077123667,2.0,1.0028975580167725,6,1.002198897787437,"[0.9998888036450463, 1.0059830094871296]"
harm68_k2|ridge=100,cf4,1.001748966287346,4,1.0138342969721776,2.0,1.0028955815841847,3,1.0279219102176913,"[0.9857946530552982, 1.0239687089919838]"
tanh_k4|ridge=100,cf4,1.0016927009047503,4,1.0140345556595132,2.0,1.002782111403638,4,1.0283250575093392,"[0.9855294778946396, 1.023911851766483]"
tanh_k2|ridge=100,cf4,1.0016904152544317,4,1.0140098571712894,2.0,1.0027775598709776,3,1.0282757590827833,"[0.9854386664585244, 1.0239162317257389]"
tanh_k8|ridge=100,cf4,1.0016897812284808,4,1.014023812717779,2.0,1.0027766327739769,4,1.028302818337213,"[0.9855376559129307, 1.0239940903976017]"
tanh_k16|ridge=100,cf4,1.0016897154300413,4,1.0140153339333406,2.0,1.0027765383163467,4,1.0282851454425794,"[0.9854791757835119, 1.0238369086716708]"
sigmoid_k2|ridge=100,cf4,1.0016639827165146,4,1.013886614269619,2.0,1.0027232444620178,3,1.0280276199761178,"[0.985498875262561, 1.0237917102549645]"
tanh_k2|ridge=0.01,full,1.0014614226301986,5,1.02179100325848,2.0,1.0027219581396412,5,1.0439295250607619,"[0.9854087771081941, 1.0156294874540368]"
sigmoid_k4|ridge=100,cf4,1.0016621857917891,4,1.0139085420069995,2.0,1.0027196792045139,3,1.0280713796647134,"[0.9855131867041309, 1.023955488443854]"
sigmoid_k16|ridge=100,cf4,1.0016587481643535,4,1.013894686345721,2.0,1.0027129405188795,3,1.028042256886817,"[0.9854468805862997, 1.0237976773098068]"
sigmoid_k8|ridge=100,cf4,1.0016568662961027,4,1.0139006660583947,2.0,1.0027091438483413,3,1.0280551875072963,"[0.9855754096442457, 1.0239959178415954]"
