network_id,rotation_index,split,order,c2_rel17,c4_rel17,c8_rel17,c12_rel17,cos12_17,late_rel,jack_cv,probe_late_rel_weighted,c17_ratio
5004,0,development,bit_reversal,3.3202162049309,2.946448454457372,2.2003814968635687,0.80426894415233,0.7681292218934733,0.80426894415233,0.27202301726651884,0.7260927919465984,0.7019164182977298
5004,1,development,natural,1.9891956839380276,1.807414516376251,1.249185804687834,0.3540953381774678,0.9393204072543118,0.3540953381774678,0.3296185106997838,0.40258430959254926,1.3752838459278838
5004,1,development,reverse,2.3834724060702195,1.0571639687635013,1.1816887355015797,0.6420321651213471,0.8416218185030897,0.6420321651213471,0.3296185106997838,0.618397846858261,1.3752838459278838
5004,1,development,endpoint_interleave,2.6218818451495354,0.9517351135568813,0.9178201653571804,0.5892459681086588,0.8318458867228561,0.5892459681086588,0.3296185106997838,0.5925254759701961,1.3752838459278838
5004,1,development,geometry_maximin,1.9891956839380276,1.807414516376251,1.249185804687834,0.3540953381774678,0.9393204072543118,0.3540953381774678,0.3296185106997838,0.40258430959254926,1.3752838459278838
5004,1,development,bit_reversal,2.6218818451495354,1.5781384543191481,1.4487830343828862,0.6396831514242466,0.8443830241430714,0.6396831514242466,0.3296185106997838,0.6997149257103645,1.3752838459278838
5004,2,development,natural,2.555340312976211,1.1784688046862144,1.1891960856956347,0.900536078397763,0.8152543518563873,0.900536078397763,0.23598741531457015,0.7481734611541889,1.0285530801767135
5004,2,development,reverse,2.0848246689055956,2.2797874773606868,1.642520070859825,0.3751944443730991,0.9269479090849345,0.3751944443730991,0.23598741531457015,0.45592089646522116,1.0285530801767135
5004,2,development,endpoint_interleave,2.339838061414184,2.0764030786593466,0.9321703854295617,0.5162638839240842,0.8765175386935911,0.5162638839240842,0.23598741531457015,0.44804971047047915,1.0285530801767135
5004,2,development,geometry_maximin,2.555340312976211,1.1784688046862144,1.1891960856956347,0.900536078397763,0.8152543518563873,0.900536078397763,0.23598741531457015,0.7481734611541889,1.0285530801767135
5004,2,development,bit_reversal,2.339838061414184,1.1921118159511974,0.9624729102376168,0.4791635321580035,0.9410858915996637,0.4791635321580035,0.23598741531457015,0.6220390246576275,1.0285530801767135
5005,0,development,natural,2.0308221060606937,1.0442041412227625,0.5908034528642622,0.43323369262478045,0.9470697691105219,0.43323369262478045,0.2617535194814918,0.4500814515994247,1.8701276188981741
5005,0,development,reverse,1.0923055013570224,1.0435134460012028,0.7527856000787427,0.5033200865967141,0.8664466600372542,0.5033200865967141,0.2617535194814918,0.5177098737661566,1.8701276188981741
5005,0,development,endpoint_interleave,1.7083747209112317,1.115010186917554,0.5064488670646371,0.3425054674150526,0.9440892546686249,0.3425054674150526,0.2617535194814918,0.38443876079265316,1.8701276188981741
5005,0,development,geometry_maximin,2.0308221060606937,1.0442041412227625,0.5908034528642622,0.43323369262478045,0.9470697691105219,0.43323369262478045,0.2617535194814918,0.4500814515994247,1.8701276188981741
