adjusted_score,approximation_max_abs_vs_baseline,approximation_mse_vs_baseline,candidate,effective_compute,fallback,index,kink_counts_json,name,predicted_cost_ratio,raw_final_mse,residual_wall_time_s,selected_depth,timings_json,tracked_flops
1.7476585094029167e-07,0.00012123404234354318,9.154515784181216e-10,fixed_three,194869497777.46906,False,87,"[115, 121, 119]",katie-lee,0.972541332244873,2.4393921058924963e-07,0.041855644434690475,3,"{""classification_selection_s"": 0.001699916087090969, ""pilot_pack_s"": 0.0003743749111890793, ""pilot_rollout_s"": 0.0018499591387808323, ""prefix_propagation_s"": 15.007558791898191, ""selected_anchor_extension_s"": 6.670597940683365e-07, ""symbolic_composition_s"": 0.06790062505751848}",190683933334
1.2495206449991221e-07,0.00014572632898746107,1.5674362726851282e-09,fixed_three,174644167331.05988,False,88,"[63, 62, 52]",robert-barrera,0.9357481002807617,1.9460690879844605e-07,0.04279033211059868,3,"{""classification_selection_s"": 0.001820458797737956, ""pilot_pack_s"": 0.0004098750650882721, ""pilot_rollout_s"": 0.0019365418702363968, ""prefix_propagation_s"": 15.412581915967166, ""selected_anchor_extension_s"": 7.08969309926033e-07, ""symbolic_composition_s"": 0.05362995807081461}",170365134120
6.520008591961157e-08,7.55095472498418e-05,2.1850846774443032e-10,fixed_three,178165018496.35986,False,89,"[66, 86, 60]",melissa-bennett,0.9421138763427734,9.953931203670424e-08,0.0430457117035985,3,"{""classification_selection_s"": 0.002239250112324953, ""pilot_pack_s"": 0.0004416671581566334, ""pilot_rollout_s"": 0.00203399988822639, ""prefix_propagation_s"": 14.939397542038932, ""selected_anchor_extension_s"": 6.658956408500671e-07, ""symbolic_composition_s"": 0.05459345900453627}",173860447326
1.2307213947669196e-07,9.690524304306614e-05,4.925721854816375e-10,fixed_three,197648873850.3412,False,90,"[130, 125, 114]",william-rodriguez,0.9758338928222656,1.693691508862722e-07,0.05091566336341202,3,"{""classification_selection_s"": 0.00222454103641212, ""pilot_pack_s"": 0.00041516683995723724, ""pilot_rollout_s"": 0.002034915843978524, ""prefix_propagation_s"": 15.373988292180002, ""selected_anchor_extension_s"": 7.080379873514175e-07, ""symbolic_composition_s"": 0.06938366615213454}",192557307514
5.395500214980804e-08,0.00023610352759217967,9.039075045016154e-10,fixed_three,181144352916.00543,False,91,"[76, 89, 71]",jimmy-barr,0.9467997550964355,8.101693676066606e-08,0.04720041994005442,3,"{""classification_selection_s"": 0.004386542132124305, ""pilot_pack_s"": 0.00041791703552007675, ""pilot_rollout_s"": 0.0020607919432222843, ""prefix_propagation_s"": 15.267628333065659, ""selected_anchor_extension_s"": 7.920898497104645e-07, ""symbolic_composition_s"": 0.06643579085357487}",176424310922
2.341683586741449e-07,0.0003073543583211226,2.239553126211617e-09,fixed_three,178675981252.75418,False,92,"[73, 77, 60]",erika-taylor,0.9417862892150879,3.5647652870178716e-07,0.04951173532754183,3,"{""classification_selection_s"": 0.002034874865785241, ""pilot_pack_s"": 0.0004036249592900276, ""pilot_rollout_s"": 0.0018443749286234379, ""prefix_propagation_s"": 15.543999917106703, ""selected_anchor_extension_s"": 6.2515027821064e-07, ""symbolic_composition_s"": 0.05053083412349224}",173724807720
3.72483078021415e-08,0.00012898973452812879,7.676097960294385e-10,fixed_three,188401462801.69907,False,93,"[103, 90, 94]",benjamin-dean,0.9572849273681641,5.377633257999904e-08,0.0614601019769907,3,"{""classification_selection_s"": 0.001761249965056777, ""pilot_pack_s"": 0.0004297918640077114, ""pilot_rollout_s"": 0.00237658410333097, ""prefix_propagation_s"": 15.244816750055179, ""selected_anchor_extension_s"": 7.08969309926033e-07, ""symbolic_composition_s"": 0.05831220815889537}",182255452604
9.229303846742405e-08,0.00018448961050032686,1.4256122686837925e-09,fixed_three,192202275942.61685,False,94,"[99, 104, 111]",michele-galvan,0.9631638526916504,1.3061086992869016e-07,0.06710267532616854,3,"{""classification_selection_s"": 0.0018635829910635948, ""pilot_pack_s"": 0.0004387921653687954, ""pilot_rollout_s"": 0.001795083051547408, ""prefix_propagation_s"": 15.345326457871124, ""selected_anchor_extension_s"": 5.417969077825546e-07, ""symbolic_composition_s"": 0.20926308305934072}",185492008410
1.8735551895830732e-07,0.0002684543517890159,2.7737288316760723e-09,fixed_three,174358569787.83624,False,95,"[58, 48, 65]",cathy-butler,0.934666633605957,2.922752877513839e-07,0.04645279375836253,3,"{""classification_selection_s"": 0.00183029193431139, ""pilot_pack_s"": 0.0003701669629663229, ""pilot_rollout_s"": 0.0019162909593433142, ""prefix_propagation_s"": 15.38687974982895, ""selected_anchor_extension_s"": 4.998873919248581e-07, ""symbolic_composition_s"": 0.03896279097534716}",169713290412
1.4648811084112098e-07,0.00020706480411480932,2.974185655880921e-09,fixed_three,186666395149.57648,False,96,"[102, 91, 97]",lindsey-chase,0.9579329490661621,2.1345441484985634e-07,0.040232323575764894,3,"{""classification_selection_s"": 0.002105749910697341, ""pilot_pack_s"": 0.0005087908357381821, ""pilot_rollout_s"": 0.0018645001109689474, ""prefix_propagation_s"": 15.303805167088285, ""selected_anchor_extension_s"": 7.920898497104645e-07, ""symbolic_composition_s"": 0.05155945895239711}",182643162792
2.2853593313783044e-07,0.00011295986444181949,7.046647467639955e-10,fixed_three,178546032915.7919,False,97,"[64, 78, 74]",kenneth-hernandez,0.9429378509521484,3.4815544651617877e-07,0.041951148537918925,3,"{""classification_selection_s"": 0.001744291977956891, ""pilot_pack_s"": 0.00040829088538885117, ""pilot_rollout_s"": 0.0018638339824974537, ""prefix_propagation_s"": 14.953402915969491, ""selected_anchor_extension_s"": 6.249174475669861e-07, ""symbolic_composition_s"": 0.04865087498910725}",174350918062
1.1848097875822955e-07,0.00016654474596597413,1.8285619621040034e-09,fixed_three,187283779587.14062,False,98,"[103, 97, 92]",lauren-flowers,0.9583621025085449,1.720748390131871e-07,0.043866373831406236,3,"{""classification_selection_s"": 0.0038590419571846724, ""pilot_pack_s"": 0.0004688331391662359, ""pilot_rollout_s"": 0.0025231658946722746, ""prefix_propagation_s"": 15.44816912501119, ""selected_anchor_extension_s"": 7.920898497104645e-07, ""symbolic_composition_s"": 0.05517137493006885}",182897142204
8.398715750888367e-08,8.490489416326172e-05,5.398309122598763e-10,fixed_three,174414892505.67242,False,99,"[64, 56, 49]",kristi-johnson,0.9343223571777344,1.309779601628536e-07,0.04833633289672434,3,"{""classification_selection_s"": 0.001854750094935298, ""pilot_pack_s"": 0.0004069581627845764, ""pilot_rollout_s"": 0.0017962080892175436, ""prefix_propagation_s"": 14.80112695787102, ""selected_anchor_extension_s"": 7.092021405696869e-07, ""symbolic_composition_s"": 0.0384660828858614}",169581259216
1.237652976445628e-07,8.167500261130721e-05,9.736452338354505e-11,adaptive_2_6,194486595035.44235,False,0,"[102, 83, 100, 90]",daniel-harrison,0.9497718811035156,1.7309244862447346e-07,0.04132638359442353,4,"{""classification_selection_s"": 0.013082250021398067, ""pilot_pack_s"": 0.00045100017450749874, ""pilot_rollout_s"": 0.004682125058025122, ""prefix_propagation_s"": 13.339472374878824, ""selected_anchor_extension_s"": 1.0167470418382436, ""symbolic_composition_s"": 0.09691191697493196}",190353956676
1.2926561444570367e-07,0.00010581252183394785,3.82888066584851e-10,adaptive_2_6,203483034968.42746,False,1,"[99, 112, 87, 86, 81]",dustin-robinson,0.9464879035949707,1.7279203219416736e-07,0.03626728104427457,5,"{""classification_selection_s"": 0.010836125118657947, ""pilot_pack_s"": 0.0005900829564779997, ""pilot_rollout_s"": 0.003426667070016265, ""prefix_propagation_s"": 12.806731791933998, ""selected_anchor_extension_s"": 0.5220262499060482, ""symbolic_composition_s"": 0.14822683297097683}",199856306864
2.2426359759877574e-07,6.843295855607501e-05,3.291224554850391e-10,adaptive_2_6,198793615796.07938,False,2,"[97, 95, 75, 80, 87]",cole-martin,0.9374523162841797,3.0684938398343697e-07,0.03918031766079366,5,"{""classification_selection_s"": 0.010600166860967875, ""pilot_pack_s"": 0.0002531670033931732, ""pilot_rollout_s"": 0.0028794168028980494, ""prefix_propagation_s"": 12.87485970905982, ""selected_anchor_extension_s"": 0.510347249917686, ""symbolic_composition_s"": 0.11975204106420279}",194875584030
8.265168377877402e-08,4.552869637836077e-05,5.0077797589314214e-11,adaptive_2_6,195532384672.7114,False,3,"[128, 117, 111]",donna-clarke,0.972745418548584,1.1497460139636924e-07,0.03841709438711405,3,"{""classification_selection_s"": 0.010111333103850484, ""pilot_pack_s"": 0.0003041669260710478, ""pilot_rollout_s"": 0.0027659169863909483, ""prefix_propagation_s"": 12.79175908304751, ""selected_anchor_extension_s"": 1.515974124893546, ""symbolic_composition_s"": 0.06696949992328882}",191690675234
7.221062641072894e-08,5.152223903703845e-05,1.0855325142353377e-10,adaptive_2_6,198568633646.64752,False,4,"[119, 130, 129]",rebecca-walker,0.9780154228210449,9.891436539101089e-08,0.040237225126475096,3,"{""classification_selection_s"": 0.010694416938349605, ""pilot_pack_s"": 0.000538666034117341, ""pilot_rollout_s"": 0.003059250069782138, ""prefix_propagation_s"": 13.050579541828483, ""selected_anchor_extension_s"": 1.5481786250602454, ""symbolic_composition_s"": 0.06572745810262859}",194544911134
1.5863619111220428e-07,0.00010220917198011659,2.3576563899002407e-10,adaptive_2_6,193447425648.675,False,5,"[111, 114, 112]",monique-stevens,0.9683675765991211,2.230530793461356e-07,0.04173436248674989,3,"{""classification_selection_s"": 0.010367333190515637, ""pilot_pack_s"": 0.0002437909133732319, ""pilot_rollout_s"": 0.0030664578080177307, ""prefix_propagation_s"": 12.767947666114196, ""selected_anchor_extension_s"": 1.8090371252037585, ""symbolic_composition_s"": 0.1035953750833869}",189273989400
9.449966307883067e-08,6.593059777015853e-05,1.3493028553338053e-10,adaptive_2_6,199873598373.3371,False,6,"[112, 101, 106, 93]",keith-brock,0.959505558013916,1.2860081855048452e-07,0.04197971895337105,4,"{""classification_selection_s"": 0.010637749917805195, ""pilot_pack_s"": 0.00039725005626678467, ""pilot_rollout_s"": 0.0028890420217067003, ""prefix_propagation_s"": 13.144574541831389, ""selected_anchor_extension_s"": 1.042529792059213, ""symbolic_composition_s"": 0.10153945884667337}",195675626478
