network_id,rotation_a,rotation_b,kind,mean_angle_deg,max_angle_deg,projector_distance
4412,3,11,legal,2.145607415951759,3.271844800215166,0.003573876073504234
4412,3,97,exact,35.419616327661934,63.42397940030279,0.816503194841482
4412,3,97,legal,1.2305643904494494,1.4521611775539884,0.0009523044166546146
4412,11,97,exact,33.54059662531622,54.85641769786565,0.7134900514539793
4412,11,97,legal,2.0974020059040845,3.298275194598909,0.003554978595512459
4413,3,11,exact,41.242031576645985,74.33779377843894,0.9471977819819513
4413,3,11,legal,1.5659617058584638,2.386877384657443,0.0019035393179636095
4413,3,97,exact,31.614747081904593,43.25295040265486,0.5862418855276803
4413,3,97,legal,1.4995485838246727,2.017307710702561,0.0015327328945378138
4413,11,97,exact,37.44074400452969,58.45349723766485,0.8062533269270844
4413,11,97,legal,1.5541422564417067,2.0177289553840794,0.0016018962619461785
4414,3,11,exact,62.572801754879166,86.89247998802341,1.3803916182867915
4414,3,11,legal,1.253640694701247,1.4531114647551042,0.0009815471114331675
4414,3,97,exact,48.70405222102602,70.3731658603037,1.0937769926566423
4414,3,97,legal,1.2969730335949403,1.6930778197372014,0.001120131557152071
4414,11,97,exact,30.364634325229922,37.664814454639085,0.5268520481846772
4414,11,97,legal,1.4129223112566125,1.5895138616147102,0.0012349746867317268
4415,3,11,exact,34.29757054910706,59.915520660752485,0.7714956006141065
4415,3,11,legal,1.3085516640771107,1.8872727099269482,0.0012468399862974877
4415,3,97,exact,44.75729030632934,73.37879184261627,0.9954159588934519
4415,3,97,legal,1.3371070867583856,2.0569161360545833,0.0014043255460711723
4415,11,97,exact,24.54361634447437,35.982389790793825,0.3966073586128325
4415,11,97,legal,0.8848720065630774,1.1404519266799829,0.000516768662014444
4416,3,11,exact,58.20775434441295,74.94172723566007,1.371114445424186
4416,3,11,legal,1.8617398217226242,2.4364608078189955,0.0023117119849322965
4416,3,97,exact,58.0572557535656,75.09025106960236,1.3646309191760473
4416,3,97,legal,2.1829117824507023,3.0018699196889655,0.0033090587218984613
4416,11,97,exact,46.11795431484792,75.67826233927428,1.0200232841776962
4416,11,97,legal,1.8793593297659248,2.726032704624876,0.002586803042625041
4417,3,11,exact,48.52142070091489,73.69485485400389,1.0782430596865742
4417,3,11,legal,1.4073994873328588,1.509440975092296,0.0012128493996514944
4417,3,97,exact,51.32493106264924,84.62106512613457,1.0869995138461377
4417,3,97,legal,2.875911766807512,3.4911077752025825,0.005264075972141402
4417,11,97,exact,29.86748231559103,43.345146365007345,0.5507538761510165
4417,11,97,legal,2.6107258457371243,3.1806134710997735,0.00434663907284305
4418,3,11,exact,47.390373903160025,70.41756168941176,1.0578379921624264
4418,3,11,legal,1.2141894856219695,1.6065814860298202,0.0009917528258993613
4418,3,97,exact,52.944239202617304,83.03029844213603,1.1361700709434746
4418,3,97,legal,1.2083804051524925,1.3850555847927715,0.0009084623451538487
4418,11,97,exact,21.010852701373445,29.9219667591838,0.2927595289290774
4418,11,97,legal,1.4887359314913633,1.6706172385681688,0.0013700911631120416
4419,3,11,exact,32.65234121437917,58.8561726706382,0.7451300008667652
4419,3,11,legal,1.0556237213651989,1.1176352884319711,0.0006811599974432259
4419,3,97,exact,30.85074010588442,52.76425820595562,0.6579932727736759
4419,3,97,legal,1.2708978652194027,1.8773756727522295,0.001207720481254615
4419,11,97,exact,16.29561181219738,23.37684760073696,0.18307324619961052
4419,11,97,legal,1.403582994959101,1.9782574314768864,0.001400932179043135
4420,3,11,exact,32.86835596381103,44.34030014146683,0.6215796028096772
4420,3,11,legal,1.4502284307285525,1.710095744902017,0.0013221355261965329
4420,3,97,exact,31.47004109699119,40.359256375964264,0.5668030386388128
4420,3,97,legal,1.3206013453700478,1.7497298072433538,0.0011743801311900892
4420,11,97,exact,14.199109584921322,23.4438728953886,0.1657434233539703
