network_id,rotation_a,rotation_b,kind,mean_angle_deg,max_angle_deg,projector_distance
4414,3,97,exact,30.37503111847583,52.31626850828563,0.6478204877900133
4414,3,97,legal,1.2969730335949403,1.6930778197372014,0.001120131557152071
4414,11,97,exact,11.117904529529337,14.970563274335793,0.08272351461084204
4414,11,97,legal,1.4129223112566125,1.5895138616147102,0.0012349746867317268
4415,3,11,exact,21.187191671972542,37.54598469383495,0.3784507633478329
4415,3,11,legal,1.3085516640771107,1.8872727099269482,0.0012468399862974877
4415,3,97,exact,28.509827037857914,48.25813422968332,0.5799446839510913
4415,3,97,legal,1.3371070867583856,2.0569161360545833,0.0014043255460711723
4415,11,97,exact,16.32361589648799,24.60786450019423,0.19295260966808692
4415,11,97,legal,0.8848720065630774,1.1404519266799829,0.000516768662014444
4416,3,11,exact,54.100826716041176,88.86032777347978,1.1092945540910049
4416,3,11,legal,1.8617398217226242,2.4364608078189955,0.0023117119849322965
4416,3,97,exact,51.65033578890743,88.59166365330886,1.0638662348970434
4416,3,97,legal,2.1829117824507023,3.0018699196889655,0.0033090587218984613
4416,11,97,exact,9.408857631464208,11.83851986795777,0.056852624201826796
4416,11,97,legal,1.8793593297659248,2.726032704624876,0.002586803042625041
4417,3,11,exact,10.528523625750578,14.246018145597727,0.07462308628463599
4417,3,11,legal,1.4073994873328588,1.509440975092296,0.0012128493996514944
4417,3,97,exact,18.61676549863637,25.20441074269515,0.22478155325214888
4417,3,97,legal,2.875911766807512,3.4911077752025825,0.005264075972141402
4417,11,97,exact,10.788919821469147,15.447416259161574,0.08234893024448708
4417,11,97,legal,2.6107258457371243,3.1806134710997735,0.00434663907284305
4418,3,11,exact,14.531733986203633,20.48520299568936,0.14472460900451023
4418,3,11,legal,1.2141894856219695,1.6065814860298202,0.0009917528258993613
4418,3,97,exact,11.723969496306744,17.332701207812026,0.10010450077708599
4418,3,97,legal,1.2083804051524925,1.3850555847927715,0.0009084623451538487
4418,11,97,exact,11.638909883528475,17.652780600396298,0.10156674383792241
4418,11,97,legal,1.4887359314913633,1.6706172385681688,0.0013700911631120416
4419,3,11,exact,17.819827046322757,28.298650074387968,0.2410662657571907
4419,3,11,legal,1.0556237213651989,1.1176352884319711,0.0006811599974432259
4419,3,97,exact,26.124488810942758,36.27229754277193,0.4257787098292214
4419,3,97,legal,1.2708978652194027,1.8773756727522295,0.001207720481254615
4419,11,97,exact,23.32669482962302,37.71892429906439,0.3984045085300161
4419,11,97,legal,1.403582994959101,1.9782574314768864,0.001400932179043135
4420,3,11,exact,30.893166547457795,54.54520980488668,0.679417357277124
4420,3,11,legal,1.4502284307285525,1.710095744902017,0.0013221355261965329
4420,3,97,exact,12.969572780909306,17.07522627118757,0.10996000875842205
4420,3,97,legal,1.3206013453700478,1.7497298072433538,0.0011743801311900892
4420,11,97,exact,35.2913500918643,55.41239833065305,0.7462368575446354
4420,11,97,legal,1.4041697294292257,1.5125795691213264,0.0012081349145032227
4421,3,11,exact,42.618755643794806,58.14089543352675,0.9288663878306971
4421,3,11,legal,1.5682225725336238,1.742494595308382,0.0015164056898266942
4421,3,97,exact,22.84222193628003,28.061895838164837,0.31295432303902126
4421,3,97,legal,1.6787605982661336,2.3227548158744753,0.001968699746074165
4421,11,97,exact,45.94275575628528,69.17722499766111,1.0226614836193857
4421,11,97,legal,1.6071420640635057,2.0466287474813623,0.0016906688276121518
4422,3,11,exact,21.476904512519376,33.071774400382175,0.3272302086549226
4422,3,11,legal,1.7719330703534673,2.505303625028923,0.0022392551752254963
4422,3,97,exact,19.289344902524284,28.230150155988735,0.25601165377746216
4422,3,97,legal,2.1042336829350616,3.1721268399770772,0.0033891723311629818
4422,11,97,exact,27.273650650876107,49.361000134400186,0.5839913446102571
4422,11,97,legal,1.5931328820544404,1.777083884231367,0.0015664669936201747
4423,3,11,exact,5.402567011214357,6.3565479367949065,0.01827411532150447
4423,3,11,legal,4.179221041983272,6.530527085118018,0.01395256245616916
4423,3,97,exact,5.839889647635977,6.848948884899304,0.021313099325818596
4423,3,97,legal,3.228087021785331,4.812239542981993,0.007860660636491712
4423,11,97,exact,4.612284755050576,6.018449383743271,0.01412120759403912
4423,11,97,legal,2.0028981456885795,2.909105741236808,0.00294205892010746
