network_id,rotation,baseline_urisk,baseline_pmse,target_noise_mse,anchor_half_correction_relerr,seconds,anchor_half_correction_cosine,zero_urisk,zero_pmse,full_exact_lower_urisk,full_exact_lower_pmse,exact_rank1_urisk,exact_rank1_pmse,exact_rank2_urisk,exact_rank2_pmse,exact_rank4_urisk,exact_rank4_pmse,exact_rank8_urisk,exact_rank8_pmse,exact_rank12_urisk,exact_rank12_pmse,legal_oracle_coeff_urisk,legal_oracle_coeff_pmse,legal_predicted_coeff_urisk,legal_predicted_coeff_pmse,exact_subspace_predicted_coeff_urisk,exact_subspace_predicted_coeff_pmse,direct_anchor_vector_learner_urisk,direct_anchor_vector_learner_pmse,frozen_template_learned_scalar_urisk,frozen_template_learned_scalar_pmse,pooled_rank_urisk,pooled_rank_pmse,beta_oracle_coeff_urisk,beta_oracle_coeff_pmse,fold_oracle_coeff_urisk,fold_oracle_coeff_pmse,softgate_oracle_coeff_urisk,softgate_oracle_coeff_pmse,weightprod_oracle_coeff_urisk,weightprod_oracle_coeff_pmse,union_oracle_coeff_urisk,union_oracle_coeff_pmse,codebook_legal_select_oracle_coeff_urisk,codebook_legal_select_oracle_coeff_pmse
4414,11,4.598515813182276e-07,7.885116433958885e-07,3.2866006207766106e-07,3.2385390186472165,9.534783601760864,-0.506206760995054,4.598515813182276e-07,7.885116433958885e-07,8.870135087221729e-07,1.2156735707998338e-06,9.711945491725653e-07,1.2998546112502263e-06,9.547778172021978e-07,1.2834378792798588e-06,9.107873410225933e-07,1.2394474031002542e-06,9.499716576109649e-07,1.2786317196886256e-06,8.865818509873255e-07,1.2152419130649866e-06,8.703653102695906e-07,1.1990253723472515e-06,4.736221186853151e-07,8.02282180762976e-07,3.633775454189081e-07,6.920376074965691e-07,5.83953449355859e-07,9.126135114335201e-07,5.57093500577347e-07,8.85753562655008e-07,5.180094175747975e-07,8.466694796524587e-07,8.703653102695906e-07,1.1990253723472515e-06,8.885393942248893e-07,1.2171994563025501e-06,4.5839971813355334e-07,7.870597802112143e-07,4.727739495124379e-07,8.014340115900989e-07,4.5839971813355334e-07,7.870597802112143e-07,4.921163329358558e-07,8.207763950135168e-07
4414,97,4.77920468879028e-07,8.06580530956689e-07,3.2866006207766106e-07,3.8700631865206483,3.310619592666626,-0.5996462051724148,4.77920468879028e-07,8.06580530956689e-07,8.80093965250843e-07,1.208754027328504e-06,7.667981300514865e-07,1.0954581921291474e-06,7.63219658321252e-07,1.091879720398913e-06,8.221850376805143e-07,1.1508450997581752e-06,8.865761853123955e-07,1.2152362473900565e-06,9.195609406807577e-07,1.2482210027584184e-06,8.062070399587857e-07,1.1348671020364466e-06,4.936586960103265e-07,8.223187580879875e-07,3.6577349370035145e-07,6.944335557780126e-07,6.052235899628863e-07,9.338836520405472e-07,5.75629417125051e-07,9.04289479202712e-07,5.065517393839739e-07,8.352118014616348e-07,8.062070399587857e-07,1.1348671020364466e-06,8.295843917426572e-07,1.158244453820318e-06,4.905775747120157e-07,8.192376367896767e-07,5.046634837391057e-07,8.333235458167668e-07,4.905775747120157e-07,8.192376367896767e-07,4.987723656877143e-07,8.274324277653752e-07
4415,3,9.25220105012969e-08,8.345362756697426e-07,7.420142651684454e-07,1.7145864794858132,5.156328201293945,0.15608042490358373,9.25220105012969e-08,8.345362756697426e-07,2.699357435509286e-07,1.0119500087193738e-06,5.419297771422784e-08,7.962072428826736e-07,1.5276964415437222e-07,8.947839093228179e-07,2.7166211662244056e-07,1.013676381790886e-06,1.9435400907986864e-07,9.363682742483138e-07,2.8044427174216494e-07,1.0224585369106103e-06,1.0478007738560864e-07,8.467943425540544e-07,9.130292383233938e-08,8.333171890007851e-07,2.5544667117907454e-07,9.974609363475202e-07,1.6799676236603653e-07,9.100110275344821e-07,1.478186826262006e-07,8.898329477946462e-07,6.350004770371383e-08,8.055143128721596e-07,1.0478007738560864e-07,8.467943425540544e-07,2.1963062348384973e-07,9.61644888652295e-07,3.744193177707536e-08,7.794561969455211e-07,9.297049524108223e-08,8.349847604095279e-07,3.744193177707536e-08,7.794561969455211e-07,8.399333650616424e-08,8.260076016746099e-07
4415,11,-3.0616937181872915e-08,7.113973279865726e-07,7.420142651684454e-07,1.6731020120004498,2.6830995082855225,0.1968795814498782,-3.0616937181872915e-08,7.113973279865726e-07,2.4497738977697376e-07,9.86991654945419e-07,1.4481753337873373e-07,8.868317985471791e-07,2.2110216875915536e-07,9.631164339276005e-07,2.7604810664684677e-07,1.0180623718152919e-06,2.1313885726349432e-07,9.551531224319393e-07,2.629595141524517e-07,1.004973779320897e-06,-5.627074897342789e-08,6.857435161950177e-07,-2.6476975305741222e-08,7.155372898627044e-07,5.989758489140965e-09,7.480040236575867e-07,1.1337669919135405e-07,8.553909643597996e-07,8.846659253695573e-08,8.304808577054014e-07,-3.495323239116429e-08,7.070610327772813e-07,-5.627074897342789e-08,6.857435161950177e-07,7.22504330809604e-08,8.142646982494059e-07,-1.0968920529594335e-07,6.323250598725022e-07,-3.337261153201398e-08,7.086416536364316e-07,-1.0968920529594335e-07,6.323250598725022e-07,-3.3329936075456846e-08,7.086843290929887e-07
4415,97,-9.159990502578685e-08,6.504143601426589e-07,7.420142651684454e-07,1.9737044738159206,6.169781446456909,0.014963756474351957,-9.159990502578685e-08,6.504143601426589e-07,2.3208894582436756e-07,9.74103210992813e-07,-1.4055274464327565e-07,6.014615205251702e-07,3.18902727359037e-08,7.739045379043491e-07,3.7494963837601186e-08,7.795092290060466e-07,1.8987209863877108e-07,9.318863638072164e-07,2.4795853436241314e-07,9.899727995308584e-07,-1.879263065313819e-07,5.540879586370639e-07,-9.377233105309092e-08,6.482419341153549e-07,4.119295953020234e-08,7.832072246986482e-07,5.020444341761354e-09,7.47034709510207e-07,-1.3140716481583792e-08,7.288735486868619e-07,-1.1260785731032615e-07,6.294064078581197e-07,-1.879263065313819e-07,5.540879586370639e-07,-2.0359422581219002e-07,5.384200393562559e-07,-7.442861295566623e-08,6.675856522127796e-07,-9.632049159035745e-08,6.456937735780883e-07,-7.442861295566665e-08,6.675856522127791e-07,-9.077141128749836e-08,6.512428538809474e-07
4416,3,5.878678929904112e-07,2.1084289373137264e-06,1.5205610443233153e-06,1.7914109822334827,3.863772392272949,0.12786474201914577,5.878678929904112e-07,2.1084289373137264e-06,1.2860891691431749e-06,2.80665021346649e-06,-1.1112698633261524e-07,1.4094340579906997e-06,1.107829002238607e-06,2.628390046561922e-06,1.1948034022489314e-06,2.715364446572246e-06,1.3260038109966896e-06,2.846564855320004e-06,1.311630483152366e-06,2.832191527475681e-06,8.513847431954904e-07,2.3719457875188054e-06,5.37474212841967e-07,2.0580352571652823e-06,6.776587695326104e-07,2.1982198138559257e-06,7.153675478928412e-07,2.2359285922161565e-06,7.64210389664861e-07,2.284771433988176e-06,8.415056396198656e-07,2.3620666839431807e-06,8.513847431954904e-07,2.3719457875188054e-06,1.0644960727944316e-06,2.585057117117747e-06,6.834449292038477e-07,2.204005973527163e-06,6.50578064528704e-07,2.1711391088520193e-06,6.834449292038477e-07,2.204005973527163e-06,7.089630111557957e-07,2.229524055479111e-06
4416,11,-2.1767836478969612e-07,1.3028826795336187e-06,1.5205610443233153e-06,1.5110961991492604,2.6849427223205566,0.276590151198148,-2.1767836478969612e-07,1.3028826795336187e-06,1.4059727424612215e-06,2.926533786784536e-06,8.437255783548364e-07,2.3642866226781514e-06,1.2354577466609143e-06,2.756018790984229e-06,1.3162282967625475e-06,2.836789341085862e-06,1.814742921266499e-06,3.3353039655898136e-06,1.5615170792989637e-06,3.0820781236222783e-06,2.0625740996453962e-07,1.7268184542878544e-06,-2.745549804584328e-07,1.2460060638648821e-06,-2.0383415547279802e-07,1.316726888850517e-06,-5.5109539634716645e-08,1.4654515046885982e-06,-5.0834708228711453e-08,1.4697263360946033e-06,4.062827523970405e-07,1.9268437967203553e-06,2.0625740996453962e-07,1.7268184542878544e-06,-1.9987265108470762e-07,1.3206883932386075e-06,-1.224932355213535e-08,1.5083117207711796e-06,-4.378752520536882e-08,1.4767735191179461e-06,-1.224932355213535e-08,1.5083117207711796e-06,6.415173039878253e-08,1.5847127747220975e-06
4416,97,3.148292645974824e-07,1.835390308920797e-06,1.5205610443233153e-06,1.990198505234433,5.053698778152466,0.004858160126000603,3.148292645974824e-07,1.835390308920797e-06,1.4055402817078786e-06,2.9261013260311934e-06,9.855421102314221e-07,2.5061031545547365e-06,1.4427590635922622e-06,2.963320107915577e-06,1.626295239417739e-06,3.1468562837410533e-06,1.581592505453558e-06,3.102153549776872e-06,1.5072216632453427e-06,3.0277827075686574e-06,6.968069298041051e-07,2.2173679741274194e-06,2.394405090376839e-07,1.7600015533609988e-06,4.4210238540303743e-07,1.962663429726352e-06,4.3650001525447885e-07,1.957061059577793e-06,4.7441438179880377e-07,1.9949754261221184e-06,6.490287648181744e-07,2.1695898091414894e-06,6.968069298041051e-07,2.2173679741274194e-06,1.074701305408268e-06,2.595262349731583e-06,5.131429029547107e-07,2.0337039472780256e-06,4.2944233212558905e-07,1.9500033764489037e-06,5.131429029547107e-07,2.0337039472780256e-06,4.6948421037458287e-07,1.990045254697897e-06
4417,3,9.292527906169718e-07,1.3947728184578377e-06,4.655200278408657e-07,1.2154502362354087,3.998028516769409,0.46284763360633036,9.292527906169718e-07,1.3947728184578377e-06,9.124535303567421e-08,5.567653808765399e-07,6.310388030456924e-07,1.0965588308865582e-06,5.322759690713608e-07,9.977959969122264e-07,2.2373769568254166e-07,6.892577235234074e-07,1.443031297111247e-07,6.098231575519905e-07,1.2351674292341078e-07,5.890367707642765e-07,5.488581119504747e-07,1.0143781397913405e-06,1.0573617124818049e-06,1.522881740322671e-06,1.2806689216833448e-06,1.7461889495242106e-06,1.1472763265587255e-06,1.6127963543995913e-06,1.0789350694652631e-06,1.544455097306129e-06,9.083855095293734e-07,1.3739055373702391e-06,5.488581119504747e-07,1.0143781397913405e-06,4.889889478495089e-07,9.545089756903746e-07,8.307235656288708e-07,1.296243593469737e-06,9.215368286236659e-07,1.3870568564645317e-06,8.307235656288708e-07,1.296243593469737e-06,9.289648182777375e-07,1.3944848461186035e-06
4417,11,2.566991872908271e-07,7.222192151316931e-07,4.655200278408657e-07,1.8260475334502573,3.056725263595581,0.09097862425931139,2.566991872908271e-07,7.222192151316931e-07,3.0042524111058606e-08,4.955625519519244e-07,1.4462357528679496e-07,6.10143603127661e-07,1.4199946430886764e-07,6.075194921497335e-07,3.336314202441014e-08,4.988831698652762e-07,3.1851324523066683e-08,4.973713523639327e-07,4.441992182969825e-08,5.099399496705642e-07,9.006277016096987e-08,5.555827980018358e-07,3.470209679707008e-07,8.125409958115668e-07,4.977787904305812e-07,9.632988182714473e-07,4.621877694905991e-07,9.277077973314649e-07,4.058622271987635e-07,8.713822550396294e-07,2.493821827016672e-07,7.149022105425332e-07,9.006277016096987e-08,5.555827980018358e-07,1.0039129624986035e-07,5.659113240907263e-07,2.6509607740072856e-07,7.306161052415945e-07,2.5936200095624473e-07,7.248820287971107e-07,2.6509607740072856e-07,7.306161052415945e-07,2.6021347511009324e-07,7.257335029509593e-07
4417,97,5.7845628909305136e-08,5.233656567501711e-07,4.655200278408657e-07,1.4804998471895505,3.017448663711548,0.29975072893151583,5.7845628909305136e-08,5.233656567501711e-07,9.413555456393963e-08,5.596555824048054e-07,1.3308102285208926e-07,5.986010506929552e-07,1.1266554898421049e-07,5.781855768250766e-07,1.4865394057182318e-07,6.141739684126891e-07,8.545525385939162e-08,5.509752817002577e-07,9.209395137702332e-08,5.576139792178891e-07,1.7101852702825978e-07,6.365385548691257e-07,1.1781410966327918e-07,5.833341375041451e-07,1.2760967005719795e-07,5.93129697898064e-07,2.188945170164865e-07,6.844145448573524e-07,1.8480119466520912e-07,6.503212225060751e-07,9.429258603823892e-08,5.598126138791049e-07,1.7101852702825978e-07,6.365385548691257e-07,1.6859537998154824e-07,6.341154078224142e-07,2.6196719342704388e-08,4.917167471835704e-07,6.034433306018953e-08,5.258643609010554e-07,2.6196719342704223e-08,4.917167471835702e-07,7.162002807837974e-08,5.371400559192457e-07
4418,3,6.319187070006398e-07,9.5799845478138e-07,3.2607974778074034e-07,2.953594332390858,3.7191314697265625,-0.40485380019040573,6.319187070006398e-07,9.5799845478138e-07,1.169317451886811e-06,1.4953971996675516e-06,9.656026170236337e-07,1.291682364804374e-06,9.85205717349558e-07,1.3112854651302986e-06,9.26485702234723e-07,1.2525654500154636e-06,1.0910423555977004e-06,1.417122103378441e-06,1.0880456428984597e-06,1.4141253906792003e-06,8.19098560964491e-07,1.1451783087452316e-06,6.565640419663529e-07,9.826437897470933e-07,5.79654422896641e-07,9.057341706773815e-07,6.831181755074895e-07,1.0091979232882296e-06,6.809676803435026e-07,1.0070474281242427e-06,6.719847274670782e-07,9.980644752478188e-07,8.19098560964491e-07,1.1451783087452316e-06,7.119702167858741e-07,1.0380499645666147e-06,6.631477225347693e-07,9.892274703155097e-07,6.39780785770818e-07,9.658605335515584e-07,6.631477225347693e-07,9.892274703155097e-07,6.584290906965467e-07,9.845088384772871e-07
4418,11,6.465844788437306e-07,9.726642266244709e-07,3.2607974778074034e-07,3.7315950729307343,3.2606921195983887,-0.5652923307766016,6.465844788437306e-07,9.726642266244709e-07,1.1359323666828228e-06,1.4620121144635632e-06,6.230718267069156e-07,9.49151574487656e-07,8.132376971367217e-07,1.139317444917462e-06,9.470256392154738e-07,1.273105386996214e-06,1.150199786163146e-06,1.476279533943886e-06,1.1096928819940097e-06,1.4357726297747501e-06,7.788345290163538e-07,1.1049142767970941e-06,6.775619365257597e-07,1.0036416843065002e-06,4.875497442449907e-07,8.136294920257309e-07,7.33385770553919e-07,1.0594655183346592e-06,7.284752764948727e-07,1.0545550242756128e-06,6.479574800055744e-07,9.740372277863146e-07,7.788345290163538e-07,1.1049142767970941e-06,6.816147947510529e-07,1.0076945425317933e-06,6.259358195210158e-07,9.520155673017562e-07,6.736955823191959e-07,9.997753300999361e-07,6.259358195210159e-07,9.520155673017563e-07,6.572350321499645e-07,9.833147799307049e-07
4418,97,7.273547646030451e-07,1.053434512383786e-06,3.2607974778074034e-07,3.592388513477173,3.174884080886841,-0.5290687318964362,7.273547646030451e-07,1.053434512383786e-06,1.155822463574458e-06,1.4819022113551988e-06,6.432604539744224e-07,9.69340201755163e-07,8.638387303305352e-07,1.189918478111276e-06,8.944524363844154e-07,1.2205321841651558e-06,1.1473129067272814e-06,1.4733926545080215e-06,1.1510743003302529e-06,1.4771540481109933e-06,7.74519984618222e-07,1.1005997323989624e-06,7.623426026199619e-07,1.0884223504007025e-06,5.285497855815493e-07,8.5462953336229e-07,8.24413340704326e-07,1.1504930884850663e-06,8.188457375268821e-07,1.1449254853076223e-06,7.296364000564221e-07,1.0557161478371626e-06,7.74519984618222e-07,1.1005997323989624e-06,7.000854779042153e-07,1.0261652256849561e-06,6.651332285780272e-07,9.91212976358768e-07,7.554451152913771e-07,1.0815248630721177e-06,6.651332285780272e-07,9.91212976358768e-07,7.458293693525985e-07,1.071909117133339e-06
4419,3,-5.152827156299497e-09,5.105143117808492e-07,5.156671389371486e-07,0.880952291698521,4.658521413803101,0.6760229127240243,-5.152827156299497e-09,5.105143117808492e-07,3.8189744869464617e-07,8.975645876317942e-07,3.5977606158827535e-07,8.754432005254241e-07,3.412085214223621e-07,8.568756603595108e-07,3.944886555785972e-07,9.101557945157459e-07,4.331530637162559e-07,9.488202026534039e-07,4.0116172290180144e-07,9.168288618389497e-07,1.0650138893117724e-07,6.22168527868326e-07,3.112301352525727e-08,5.467901524624061e-07,6.29881718796993e-08,5.78655310816848e-07,1.5506103084415332e-07,6.707281697813017e-07,1.2640778176133699e-07,6.420749206984854e-07,5.689648047162247e-08,5.725636194087712e-07,1.0650138893117724e-07,6.22168527868326e-07,2.107640915277407e-07,7.264312304648893e-07,5.784323181859653e-08,5.735103707557453e-07,-7.669389996052852e-09,5.079977489410959e-07,5.784323181859648e-08,5.735103707557451e-07,3.786658019689617e-08,5.535337191340449e-07
