case_id,base_id,variant,split,orientation,orientation_seed,mse,mse_nc,ratio,ratio_nc,correction_norm,error_correction_ip,correction_cosine,oracle_scale,oracle_scale_mse,p1_p2_cos,c1_c2_cos,c2_p2_cos,p2_norm,c2_norm,nested_rel,first_layer_relerr,p2_common_cos,p2_consensus_cos
3680907127:0,3680907127,0,development,3,1013,1.3483795438149948e-07,1.2929027309282875e-07,2.201497429385678,2.3211644291891385,0.0025439670722287137,-2.987675231347823e-06,-0.24998099123505324,-0.46164742260134284,8.082869071977772e-08,0.8959984419496461,0.9115981557108269,0.9473868921674949,0.001086786139565824,0.011203762689641562,0.8812333356728482,0.011418088654507807,0.04511483161643626,0.7800807452715306
3680907127:0,3680907127,0,development,4,1019,1.1287297802553464e-07,1.073252967368639e-07,1.8428755620784971,1.9268244638861032,0.0018369180964718287,-1.7249084435032642e-06,-0.19987631789011834,-0.5111948416331097,8.277200428037466e-08,0.5663705852039,0.7645967485692469,0.7564154326235882,0.0006075253206725299,0.0066680332095680655,1.9098357711375773,0.012311856990239064,0.2670293447997414,0.6545429645470258
3680907127:0,3680907127,0,development,5,1021,5.824891814682207e-08,5.270123685815134e-08,0.9510292866199109,0.9461518909592088,0.002296346245169293,6.216440213250427e-06,0.5762215204171633,1.1788729895339434,5.75898591247304e-08,0.7452579166259582,0.6959762695989253,0.7633205991725844,0.0006216463935666593,0.005913040841413313,1.6258329893125263,0.011558829293124174,0.1380771656434669,0.7952087055314835
3680907127:0,3680907127,0,development,6,1031,9.594125880684992e-08,9.039357751817919e-08,1.566431614927302,1.6228471929338542,0.002942218033479797,3.0835410481824526e-06,0.2230796559207906,0.35620501375016883,8.192587739420808e-08,0.2575454116133673,-0.036088799840755456,0.8361989278690591,0.0006951560713484177,0.005937045970650107,1.690585996240652,0.011322804204327767,0.3223824828980513,0.8066010101601203
3680907127:0,3680907127,0,development,7,1033,6.839786337927026e-08,6.285018209059953e-08,1.1167309760492508,1.1283571729484698,0.00304916429759219,6.929473641500777e-06,0.48373165253208716,0.7453128261529772,6.60420773862699e-08,0.3649014851723012,0.405505287401893,0.9062758445655373,0.0009049426439177482,0.011526935689078432,1.021968468078534,0.011578025073183618,0.03688563153155438,0.3291496688961568
3680907127:1,3680907127,1,development,0,1005,9.555444968133154e-08,9.000676839266081e-08,0.9806141040752101,0.9794437918849376,0.0023159323207208697,7.710090209864749e-06,0.5666399018736017,1.4374995983550791,9.154424001573763e-08,0.6776321655604046,0.25499721108671763,0.2064036138677474,0.00043592461349566976,0.00519876980414209,1.445216900886912,0.010875575025451271,0.3694356251673645,0.5566642795727803
3680907127:1,3680907127,1,development,1,1007,1.1494168386511248e-07,1.0939400257644175e-07,1.1795728688739873,1.19041355007339,0.0023792951432569666,5.377275666624345e-06,0.38466931222775463,0.9498732666640985,1.148861196124275e-07,0.7417739437122771,0.6307205958301327,0.8344556661143469,0.0009253028116833037,0.008044558369881634,0.8733097807766829,0.012142176974214373,0.6881055039509798,0.7506029868139281
3680907127:1,3680907127,1,development,2,1011,1.448658750523149e-07,1.3931819376364416e-07,1.4866656733333776,1.5160453198711958,0.0024072186593878608,1.6138073423514453e-06,0.11410632116444663,0.27849705353480086,1.330825641959921e-07,0.7606970600019302,0.8410454055960742,0.5792115432560677,0.0006066342937020783,0.006968798790124422,0.9017964812022623,0.010383417061163667,0.2313428749072106,0.6607640474807747
3680907127:1,3680907127,1,development,3,1013,9.777966027999609e-08,9.223197899132536e-08,1.0034500149602101,1.0036582898101434,0.00294310429735543,9.0744234487123e-06,0.5247916862473377,1.0476295397560287,9.770290219869106e-08,0.8414514212610377,0.7990573988263137,0.7390157091560432,0.0007406563794440847,0.009333873916026882,0.8545256853532988,0.011767648914111636,0.24619325706389605,0.5965693469430956
3680907127:1,3680907127,1,development,4,1019,1.622733642402582e-07,1.5672568295158747e-07,1.665307583481586,1.705471709929496,0.0032842515195824038,1.8814519111821807e-06,0.09750575979656154,0.17442964761699045,1.3355623449264043e-07,0.6387585725446294,0.5873304283477019,0.6833857927110553,0.0006626875366415536,0.008762963811581145,0.9971767455687035,0.011729538057284042,-0.10687792285994586,0.5546625209360715
