case_id,base_id,variant,split,truth_noise_mse,baseline_mse,baseline_mse_nc,reduced_base_mse,y0_mse,seconds,peak_rss_kb
3680907127:0,3680907127,0,development,5.547681288670734e-09,6.124829063240181e-08,5.570060934373108e-08,8.638898662558118e-08,8.621639607181398e-08,6.759936501999846,1205936
3680907127:1,3680907127,1,development,5.547681288670734e-09,9.744347882029117e-08,9.189579753162044e-08,1.3492825233601762e-07,1.3483819149996478e-07,6.818390744999988,1206688
3680907127:2,3680907127,2,development,5.547681288670734e-09,1.3574440453936476e-07,1.3019672325069402e-07,9.035867745790963e-08,9.042674066036994e-08,6.401626021000084,1207992
3717728479:0,3717728479,0,development,1.3151064573271479e-08,1.5616716056628207e-07,1.430160959930106e-07,1.8805935730920011e-07,1.879507895931546e-07,6.635832359999995,1210032
3717728479:1,3717728479,1,development,1.3151064573271479e-08,6.048595901326808e-07,5.917085255594093e-07,5.638080968062639e-07,5.641906428983515e-07,5.281989536000083,1210032
3717728479:2,3717728479,2,development,1.3151064573271479e-08,3.2809949065300664e-07,3.149484260797352e-07,3.1257943330269095e-07,3.12500468750829e-07,6.192605055000058,1210032
372080181:0,372080181,0,development,1.7771973533362985e-08,3.062351145633035e-07,2.8846314102994054e-07,3.444291272573318e-07,3.4433705873474295e-07,6.901627727999994,1210032
372080181:1,372080181,1,development,1.7771973533362985e-08,2.625807157265811e-07,2.4480874219321814e-07,3.6302111168889934e-07,3.6284185708321956e-07,6.40240674100005,1210032
372080181:2,372080181,2,development,1.7771973533362985e-08,5.818118176322793e-07,5.640398440989162e-07,5.467050076199341e-07,5.468522243309636e-07,6.752828069000088,1210032
490965904:0,490965904,0,test,5.108073265456312e-08,3.1683372706312236e-07,2.6575299440855926e-07,4.0920303550087905e-07,4.0946029291305235e-07,6.92695786000013,1210032
490965904:1,490965904,1,test,5.108073265456312e-08,6.345601765031433e-07,5.834794438485801e-07,7.718529926178247e-07,7.718990509535438e-07,5.2480164609999065,1210032
490965904:2,490965904,2,test,5.108073265456312e-08,1.4885876525179287e-07,9.777803259722975e-08,1.5607477766784176e-07,1.562034974951704e-07,5.992740770999944,1210032
929236264:0,929236264,0,calibration,1.238892624215931e-08,5.322341758824107e-07,5.198452496402514e-07,3.840007092318294e-07,3.837940423829862e-07,5.831872786999838,1210032
929236264:1,929236264,1,calibration,1.238892624215931e-08,2.583462981962006e-07,2.459573719540413e-07,3.508224309251238e-07,3.5071997662654024e-07,6.0569142229999215,1210032
929236264:2,929236264,2,calibration,1.238892624215931e-08,2.5417492934681705e-07,2.4178600310465775e-07,2.4540657893792196e-07,2.4525416564399446e-07,5.7425839449999785,1210032
