k,subset,split,selector,mean_within_case_reward_spearman,pooled_ratio,wins,median,p90,worst,oracle_identity_accuracy_full8,mean_regret_to_oracle8
2,"[2, 7]",test,nested_rel,-0.1111111111111111,1.1937701379329269,3,1.2270648886274655,1.878108840987337,2.306821617147198,0.2222222222222222,0.6671349348977075
2,"[2, 7]",test,p2_norm_high,0.1111111111111111,1.247660723145293,3,1.2258785719775944,1.754565220527162,2.306821617147198,0.2222222222222222,0.6062002903739812
2,"[2, 7]",test,p2_norm_low,-0.1111111111111111,1.1622057870187918,2,1.3030545373967488,1.7833088490762843,1.8328216575919352,0.1111111111111111,0.6711307532330224
2,"[2, 7]",test,c2_norm_high,-0.1111111111111111,1.257526885185438,2,1.286603954313031,1.9276216495029879,2.306821617147198,0.2222222222222222,0.7572110523404518
2,"[2, 7]",test,c2_norm_low,0.1111111111111111,1.1523396249786468,3,1.2258785719775944,1.45436178123884,1.616501121372153,0.1111111111111111,0.5201199912665518
2,"[2, 7]",test,phase_combo,-0.1111111111111111,1.253323518093532,3,1.2270648886274655,1.754565220527162,2.306821617147198,0.2222222222222222,0.6198233841100443
2,"[2, 7]",test,c17_p2_self_consistency,-0.1111111111111111,1.0347499445920196,3,1.286603954313031,1.754565220527162,2.306821617147198,0.2222222222222222,0.5928985505204517
2,"[2, 7]",test,oracle_true_error_p2_direction,0.33333333333333326,1.0172851476976934,4,1.2258785719775944,1.7463616259461119,2.306821617147198,0.3333333333333333,0.5240453947608432
4,"[2, 7, 1, 4]",development,p2_consensus,0.2555555555555555,1.0069785801702928,10,0.9779338053334655,1.669267068706057,1.956360983783425,0.1111111111111111,0.3614995247690864
4,"[2, 7, 1, 4]",development,p2_common,0.22222222222222218,1.0323609532774771,8,1.0704546129230248,1.9869940042247807,2.492277028277549,0.16666666666666666,0.47589088926359374
4,"[2, 7, 1, 4]",development,first_layer,-0.07777777777777777,1.0320773160683474,8,1.0805307335460554,1.6156264566779595,2.0676719575977205,0.16666666666666666,0.3879918420759767
4,"[2, 7, 1, 4]",development,p1_p2,0.14444444444444443,0.9521081742758849,11,0.9573750945358253,1.4972202490264765,2.0481088515923345,0.2777777777777778,0.30901224577292796
4,"[2, 7, 1, 4]",development,c1_c2,0.1888888888888889,0.8918573357010359,13,0.9456125416636622,1.4720318372043246,1.956360983783425,0.3888888888888889,0.23152055256156634
4,"[2, 7, 1, 4]",development,c2_p2,0.022222222222222237,0.920404406479896,9,1.0128173368447697,1.4972202490264765,2.0676719575977205,0.2777777777777778,0.29310914700547697
4,"[2, 7, 1, 4]",development,nested_rel,0.07777777777777779,0.9261813573659127,11,0.9573750945358253,1.6425933774325334,1.956360983783425,0.2777777777777778,0.2988078949577502
4,"[2, 7, 1, 4]",development,p2_norm_high,0.06666666666666668,0.9254104458560749,9,1.0128173368447697,1.4972202490264765,2.0676719575977205,0.2777777777777778,0.29690866800944016
4,"[2, 7, 1, 4]",development,p2_norm_low,-0.06666666666666668,1.1270074664244452,6,1.2905406963041655,1.7152475293391338,1.9608019267815433,0.1111111111111111,0.5113234173007898
4,"[2, 7, 1, 4]",development,c2_norm_high,-0.03333333333333331,0.9950086348786008,8,1.1635423936505287,1.7034695497522117,2.0676719575977205,0.16666666666666666,0.3999969364293384
4,"[2, 7, 1, 4]",development,c2_norm_low,0.03333333333333331,1.0800683407046001,9,1.0888085237210023,1.7220229359969363,2.0481088515923345,0.1111111111111111,0.44272754898155725
4,"[2, 7, 1, 4]",development,phase_combo,0.20000000000000004,0.917350206615641,12,0.9573750945358253,1.4720318372043246,1.956360983783425,0.3888888888888889,0.27463966206833534
4,"[2, 7, 1, 4]",development,c17_p2_self_consistency,0.055555555555555566,1.0190600544223376,7,1.1557517468115655,1.5457596053859048,1.6433943461477893,0.2222222222222222,0.35467781061621606
4,"[2, 7, 1, 4]",development,oracle_true_error_p2_direction,0.06666666666666667,0.9716891955913365,8,1.0694650812566349,1.7055673832657299,2.0676719575977205,0.2222222222222222,0.34847686071949624
4,"[2, 7, 1, 4]",calibration,p2_consensus,0.11111111111111109,0.8604580045538914,5,0.8275228027010639,1.4660624567976668,1.5687921901007724,0.1111111111111111,0.36845278027657924
4,"[2, 7, 1, 4]",calibration,p2_common,0.08888888888888886,1.0515653580433413,4,1.1336429177752232,1.7863337874910545,3.1119371489521694,0.1111111111111111,0.6240132106622498
4,"[2, 7, 1, 4]",calibration,first_layer,-0.24444444444444446,1.0939653573319383,4,1.2236743743426723,1.847111623447885,2.4559916035736085,0.0,0.6738212964429591
4,"[2, 7, 1, 4]",calibration,p1_p2,-0.1111111111111111,1.1461402229225264,5,0.9374969728974012,1.9783007325235973,3.1119371489521694,0.0,0.6750268724409956
4,"[2, 7, 1, 4]",calibration,c1_c2,-0.022222222222222237,1.1249340420189873,5,0.823782886532134,2.587180712649321,3.1119371489521694,0.0,0.7321953304257907
4,"[2, 7, 1, 4]",calibration,c2_p2,0.1333333333333333,1.0421216511669573,4,1.2236743743426723,1.6551446784153423,2.4559916035736085,0.0,0.6178529825633814
4,"[2, 7, 1, 4]",calibration,nested_rel,-0.02222222222222223,1.0149049022316854,5,0.9374969728974012,1.7863337874910545,3.1119371489521694,0.1111111111111111,0.6070183279979061
4,"[2, 7, 1, 4]",calibration,p2_norm_high,0.19999999999999998,0.9379397469551923,5,0.8275228027010639,1.4432906082026673,1.4549329471257755,0.1111111111111111,0.4263677592837055
4,"[2, 7, 1, 4]",calibration,p2_norm_low,-0.19999999999999998,0.8471497222739564,6,0.7442261725559242,1.502422098263771,1.694891628416454,0.1111111111111111,0.3539603277812142
4,"[2, 7, 1, 4]",calibration,c2_norm_high,0.08888888888888886,0.9259000712870107,4,1.2236743743426723,1.6551446784153423,2.4559916035736085,0.2222222222222222,0.5461665486201093
4,"[2, 7, 1, 4]",calibration,c2_norm_low,-0.08888888888888886,1.0061672390024583,3,1.1184512150681147,1.4772022106006346,1.5687921901007724,0.0,0.4919347614482061
4,"[2, 7, 1, 4]",calibration,phase_combo,-0.13333333333333333,1.1265121410228252,5,0.9374969728974012,1.7863337874910545,3.1119371489521694,0.0,0.6757650388087013
4,"[2, 7, 1, 4]",calibration,c17_p2_self_consistency,-0.26666666666666666,1.0704924216429845,3,1.14319384176693,1.539039776238402,2.4559916035736085,0.1111111111111111,0.6097852224540264
4,"[2, 7, 1, 4]",calibration,oracle_true_error_p2_direction,0.0888888888888889,0.8947253331070906,5,0.7635633037329935,1.6435023394922341,2.4559916035736085,0.1111111111111111,0.48230618623456817
4,"[2, 7, 1, 4]",test,p2_consensus,0.1111111111111111,1.08346312937417,3,1.2122136042999712,1.4076627531771921,1.4138269462055117,0.2222222222222222,0.46162058967156594
4,"[2, 7, 1, 4]",test,p2_common,-0.1111111111111111,1.187650010879122,3,1.2122136042999712,1.754565220527162,2.306821617147198,0.0,0.6927434869242458
4,"[2, 7, 1, 4]",test,first_layer,0.02222222222222222,1.138310834277365,3,1.1804466937721803,1.4076627531771921,1.4138269462055117,0.0,0.49078251017065494
4,"[2, 7, 1, 4]",test,p1_p2,-0.24444444444444446,1.3835937623759138,1,1.286603954313031,1.754565220527162,2.306821617147198,0.0,0.7813086942609335
4,"[2, 7, 1, 4]",test,c1_c2,-0.2444444444444444,1.1377490870435973,3,1.2270648886274655,2.3151881026176953,2.348654044499684,0.1111111111111111,0.7488931256408777
4,"[2, 7, 1, 4]",test,c2_p2,-0.02222222222222223,1.2001146934292584,3,1.374729304126413,1.754565220527162,2.306821617147198,0.2222222222222222,0.6385348023931869
4,"[2, 7, 1, 4]",test,nested_rel,0.11111111111111109,0.932749750688567,5,0.8339249583257116,1.4230836675755612,1.616501121372153,0.2222222222222222,0.3682881946968401
4,"[2, 7, 1, 4]",test,p2_norm_high,0.08888888888888888,1.2001146934292584,3,1.374729304126413,1.754565220527162,2.306821617147198,0.2222222222222222,0.6385348023931869
4,"[2, 7, 1, 4]",test,p2_norm_low,-0.08888888888888888,1.2299650273812526,1,1.2008536092595286,1.7833088490762843,1.8328216575919352,0.0,0.6701854598209575
